Level,Region/Connections,Wynn,Gavel,Corkus,Fruma
1,Ragni,Ragni,,,
10,Detlas,Detlas,,,
21,Nemract,Nemract,,,
31,Almuj,Almuj,,,
41,"Nesaak, Llevigar",Nesaak,Llevigar,,
51,"Nesaak, Olux",Nesaak,Olux,,
56,"Troms, Olux",Troms,Olux,,
61,"Troms, Gelibord",Troms,Gelibord,,
66,Gelibord,,Gelibord,,
76,Cinfras,,Cinfras,,
81,"Cinfras, Corkus City",,Cinfras,Corkus City,
86,"Thesead, Corkus City",,Thesead,Corkus City,
91,"Rodoroc, Corkus City",,Rodoroc,Corkus City,
96,Ahmsord,,Ahmsord,,
101,Lutho,,Lutho,,
105,Espren,,,,Espren
110,Timasca,,,,Timasca
115,Aldwell,,,,Aldwell
120,Hyloch,,,,Hyloch
